title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
heavens-soldiers,천군,N/A,movie,"Sci-Fi, Action, Comedy","SF, 액션, 코미디",2005,1시간 46분,15,대한민국,5.9,630,True,"Netflix, wavve, Netflix basic with Ads",Min Joon-ki,71,0 DAYS,1 DAYS,45 DAYS,106.0
hu-ijeu-erin,후 이즈 에린?,Who Is Erin Carter?,tv,"Thriller, Action, Crime, Dramas","스릴러, 액션, 범죄, 드라마",2023,49분,15,"영국, 미국",6.5,22k,False,"Netflix, Netflix basic with Ads",N/A,5,8 DAYS,36 DAYS,196 DAYS,49.0
ancient-apocalypse,고대의 아포칼립스,Ancient Apocalypse,tv,"Documentary, History","다큐멘터리, 역사",2022,35분,12,영국,7.3,11k,False,"Netflix, Netflix basic with Ads",N/A,6,1 DAYS,6 DAYS,196 DAYS,35.0
banana-fish,바나나 피쉬,バナナフィッシュ,tv,"Crime, Anime, Action, Dramas","범죄, 애니메이션, 액션, 드라마",2018,22분,19,일본,N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha, Amazon Prime Video",N/A,19,0 DAYS,26 DAYS,689 DAYS,22.0
haneul-wie-sarangi,하늘 위에 사랑이,Love Is in the Air,movie,"Comedy, Romance, Dramas","코미디, 로맨스, 드라마",2023,1시간 28분,N/A,호주,N/A,N/A,False,"Netflix, Netflix basic with Ads",Adrian Powers,14,0 DAYS,3 DAYS,7 DAYS,88.0
deibideu-aeteunbeoreo-uriyi-jigureul-wihayeo,데이비드 애튼버러: 우리의 지구를 위하여,David Attenborough: A Life on Our Planet,movie,"Documentary, Dramas","다큐멘터리, 드라마",2020,1시간 23분,N/A,영국,8.9,35k,False,"Netflix, Netflix basic with Ads","Keith Scholey , Jonathan Hughes , Alastair Fothergill",3,1 DAYS,4 DAYS,224 DAYS,83.0
bbabbiyong,빠삐용,Papillon,movie,"Dramas, Crime, Unknown","드라마, 범죄, 유럽에서 제작",2017,2시간 14분,15,"스페인, 미국, 체코 공화국, 몰타, 세르비아",7.2,89k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Michael Noer,3,4 DAYS,20 DAYS,332 DAYS,134.0
snow-white-and-the-huntsman,스노우 화이트 앤 더 헌츠맨,Snow White and the Huntsman,movie,"Action, Fantasy, Dramas, Romance, Sci-Fi, Thriller, War","액션, 판타지, 드라마, 로맨스, SF, 스릴러, 전쟁",2012,2시간 7분,N/A,미국,6.1,306k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Rupert Sanders,11,0 DAYS,10 DAYS,276 DAYS,127.0
captain-phillips,캡틴 필립스,Captain Phillips,movie,"Dramas, Thriller, Crime, Action","드라마, 스릴러, 범죄, 액션",2013,2시간 14분,15,미국,7.8,500k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Paul Greengrass,3,4 DAYS,29 DAYS,874 DAYS,134.0
pororo-the-little-penguin,뽀롱뽀롱 뽀로로,N/A,tv,"Anime, Action, Sci-Fi, Family, Comedy, Fantasy","애니메이션, 액션, SF, 가족, 코미디, 판타지",2003,9분,ALL,대한민국,5.7,158,False,"Netflix, Netflix basic with Ads",N/A,21,0 DAYS,7 DAYS,328 DAYS,9.0
coehutongceob-gyeolhonhalgga-heeojilgga-namagongpyeon,최후통첩: 결혼할까 헤어질까 남아공편,The Ultimatum: South Africa,tv,Reality-TV,Reality TV,2024,43분,19,남아프리카공화국,6.9,154,False,"Netflix, Netflix basic with Ads",Tasneen Handerson,60,0 DAYS,4 DAYS,14 DAYS,43.0
ggomahieoro-syupeojaeg,꼬마히어로 슈퍼잭,N/A,tv,Unknown,,2020,11분,N/A,N/A,N/A,N/A,False,"Netflix, Netflix basic with Ads",김이걸,141,0 DAYS,0 DAYS,4 DAYS,11.0
oldeu-gadeu,올드 가드,The Old Guard,movie,"Action, Fantasy, Thriller","액션, 판타지, 스릴러",2020,2시간 5분,N/A,미국,6.7,188k,False,"Netflix, Netflix basic with Ads",Gina Prince-Bythewood,1,13 DAYS,51 DAYS,375 DAYS,125.0
uriga-bol-su-eobsneun-modeun-bic,우리가 볼 수 없는 모든 빛,All the Light We Cannot See,tv,"Dramas, History, War","드라마, 역사, 전쟁",2023,57분,19,미국,7.5,48k,False,"Netflix, Netflix basic with Ads",N/A,1,17 DAYS,77 DAYS,276 DAYS,57.0
eombeurelreo-akademi,엄브렐러 아카데미,The Umbrella Academy,tv,"Comedy, Dramas, Fantasy, Sci-Fi, Action","코미디, 드라마, 판타지, SF, 액션",2019,51분,15,미국,7.8,296k,False,"Netflix, Netflix basic with Ads",N/A,1,55 DAYS,309 DAYS,2086 DAYS,51.0
paemilri-maen,패밀리 맨,The Family Man,movie,"Dramas, Fantasy, Thriller, Romance, Comedy","드라마, 판타지, 스릴러, 로맨스, 코미디",2000,2시간 5분,15+,미국,6.8,121k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Brett Ratner,14,0 DAYS,17 DAYS,427 DAYS,125.0
mujigjeonsaeng-isegyee-gasseumyeon-coeseoneul-dahanda,무직전생 ~이세계에 갔으면 최선을 다한다~,無職転生 ～異世界行ったら本気だす～,tv,"Anime, Action, Sci-Fi, Dramas, Fantasy","애니메이션, 액션, SF, 드라마, 판타지",2021,24분,19,일본,8.3,24k,True,"Netflix, Netflix basic with Ads, Watcha",N/A,1,4 DAYS,27 DAYS,815 DAYS,24.0
ice-age-dawn-of-the-dinosaurs,아이스 에이지 3: 공룡시대,Ice Age: Dawn of the Dinosaurs,movie,"Anime, Comedy, Family","애니메이션, 코미디, 가족",2009,1시간 34분,N/A,미국,6.9,270k,True,"wavve, Disney Plus, Netflix, Naver Store, Netflix basic with Ads",Carlos Saldanha,47,0 DAYS,1 DAYS,54 DAYS,94.0
gaengseu-obeu-galrisia,갱스 오브 갈리시아,Clanes,tv,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2024,46분,19,스페인,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,5,2 DAYS,15 DAYS,54 DAYS,46.0
eodumyi-silryeogjaga-doego-sipeoseo,THE EMINENCE IN SHADOW,N/A,tv,"Comedy, Fantasy, Anime, Action, Sci-Fi","코미디, 판타지, 애니메이션, 액션, SF",2022,23분,19,일본,N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha",N/A,4,4 DAYS,11 DAYS,315 DAYS,23.0
the-greatest-showman,위대한 쇼맨,The Greatest Showman,movie,Dramas,드라마,2017,1시간 45분,N/A,미국,7.5,321k,True,"wavve, Disney Plus, Netflix, Naver Store, Netflix basic with Ads",Michael Gracey,2,17 DAYS,681 DAYS,2513 DAYS,105.0
jombiraendeu-deobeul-taeb,좀비랜드: 더블 탭,Zombieland: Double Tap,movie,"Horror, Comedy, Action","공포, 코미디, 액션",2019,1시간 39분,15,미국,6.7,210k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Ruben Fleischer,2,2 DAYS,129 DAYS,858 DAYS,99.0
sodoatoonrain,소드 아트 온라인,ソードアート・オンライン,tv,"Anime, Sci-Fi, Action, Thriller, Fantasy, Romance","애니메이션, SF, 액션, 스릴러, 판타지, 로맨스",2012,23분,19,일본,7.5,54k,True,"Netflix, Watcha, Naver Store",N/A,47,0 DAYS,2 DAYS,12 DAYS,23.0
gidongjeonsa-geondam-bogsuyi-rekwiem,기동전사 건담: 복수의 레퀴엠,機動戦士ガンダム 復讐のレクイエム,tv,"War, Sci-Fi, Anime, Dramas, Action","전쟁, SF, 애니메이션, 드라마, 액션",2024,24분,15,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,8 DAYS,25 DAYS,24.0
beulreodeu-obeu-jeuseu,블러드 오브 제우스,Blood of Zeus,tv,"Anime, Action, Sci-Fi, Fantasy","애니메이션, 액션, SF, 판타지",2020,30분,19,미국,7.5,24k,False,"Netflix, Netflix basic with Ads",N/A,2,3 DAYS,14 DAYS,252 DAYS,30.0
the-bourne-ultimatum,본 얼티메이텀,The Bourne Ultimatum,movie,"Action, Dramas, Thriller","액션, 드라마, 스릴러",2007,1시간 55분,N/A,"프랑스, 독일, 스페인, 미국",8.0,665k,True,"wavve, Netflix, Naver Store, Amazon Prime Video, Netflix basic with Ads",Paul Greengrass,17,0 DAYS,44 DAYS,732 DAYS,115.0
hel-peseuteu,헬 페스트,Hell Fest,movie,"Thriller, Horror","스릴러, 공포",2018,1시간 29분,15+,미국,5.5,20k,True,"Netflix, Watcha",Gregory Plotkin,35,0 DAYS,5 DAYS,67 DAYS,89.0
inside-the-mind-of-a-dog,개는 왜 개일까?,Inside the Mind of a Dog,movie,Documentary,다큐멘터리,2024,1시간 15분,N/A,미국,N/A,N/A,False,"Netflix, Netflix basic with Ads",Andy Mitchell,14,0 DAYS,3 DAYS,13 DAYS,75.0
rita,리타,Rita,tv,"Dramas, Comedy, Unknown","드라마, 코미디, 유럽에서 제작",2012,40분,19,덴마크,8.1,10k,False,"Netflix, Netflix basic with Ads",N/A,2,4 DAYS,21 DAYS,499 DAYS,40.0
the-empress,황후 엘리자베트,Die Kaiserin,tv,"Dramas, History, Romance","드라마, 역사, 로맨스",2022,56분,19,독일,7.8,16k,False,"Netflix, Netflix basic with Ads",N/A,4,5 DAYS,22 DAYS,218 DAYS,56.0
jyuragi-weoldeu-baegaggi-eodeubenceo,쥬라기 월드: 백악기 어드벤처,Jurassic World Camp Cretaceous,tv,"Anime, Action, Sci-Fi, Family","애니메이션, 액션, SF, 가족",2020,24분,12,미국,7.5,12k,False,"Netflix, Netflix basic with Ads",N/A,2,9 DAYS,38 DAYS,673 DAYS,24.0
langston-kerman-bad-poetry,LANGSTON KERMAN: BAD POETRY,N/A,movie,"Comedy, Documentary","코미디, 다큐멘터리",2024,50분,N/A,미국,6.8,120,False,"Netflix, Netflix basic with Ads",John Mulaney,31,0 DAYS,1 DAYS,6 DAYS,50.0
maidemon,마이데몬,N/A,tv,"Dramas, Comedy, Sci-Fi, Fantasy, Romance","드라마, 코미디, SF, 판타지, 로맨스",2023,1시간 6분,15,대한민국,7.7,12k,True,"Netflix, wavve, Netflix basic with Ads","Kim Jang-han , Kwon Da-som",4,3 DAYS,29 DAYS,258 DAYS,66.0
traitors,반역자들,Traitors,tv,"Dramas, War, History, Thriller","드라마, 전쟁, 역사, 스릴러",2019,52분,19,영국,6.6,4k,False,"Netflix, Netflix basic with Ads",N/A,2,3 DAYS,9 DAYS,227 DAYS,52.0
los-renglones-torcidos-de-dios,신의 구부러진 선,Los renglones torcidos de Dios,movie,"Dramas, Thriller","드라마, 스릴러",2022,2시간 35분,15,스페인,7.1,25k,False,"Netflix, Netflix basic with Ads",Oriol Paulo,4,2 DAYS,19 DAYS,217 DAYS,155.0
pureun-nunyi-samurai,푸른 눈의 사무라이,Blue Eye Samurai,tv,"Action, Dramas, History, Thriller, Anime","액션, 드라마, 역사, 스릴러, 애니메이션",2023,47분,19,미국,8.7,80k,False,"Netflix, Netflix basic with Ads",N/A,1,14 DAYS,126 DAYS,367 DAYS,47.0
chappie,채피,Chappie,movie,"Crime, Action, Sci-Fi, Dramas, Thriller","범죄, 액션, SF, 드라마, 스릴러",2015,2시간 0분,15,미국,6.8,274k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Neill Blomkamp,1,7 DAYS,111 DAYS,1069 DAYS,120.0
moon-lovers-scarlet-heart-ryeo,달의 연인 - 보보경심 려,N/A,tv,"War, Dramas, Sci-Fi, Romance, Action, Fantasy","전쟁, 드라마, SF, 로맨스, 액션, 판타지",2016,1시간 0분,15,대한민국,8.6,12k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Kim Kyu-tae,10,1 DAYS,16 DAYS,1656 DAYS,60.0
olivia-rodrigo-guts-world-tour,올리비아 로드리고: 거츠 월드 투어,Olivia Rodrigo: GUTS World Tour,movie,"Music, Documentary","음악, 다큐멘터리",2024,1시간 45분,15,미국,8.1,336,False,"Netflix, Netflix basic with Ads",James B. Merryman,11,0 DAYS,2 DAYS,6 DAYS,105.0
perfect-match,퍼펙트 매치,Perfect Match,tv,"Reality-TV, Romance","Reality TV, 로맨스",2023,56분,19,미국,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,29,0 DAYS,6 DAYS,45 DAYS,56.0
geu-biseukeu-doleun-sarangeul-handa,그 비스크 돌은 사랑을 한다,その着せ替え人形は恋をする,tv,"Dramas, Comedy, Anime, Romance","드라마, 코미디, 애니메이션, 로맨스",2022,24분,19,일본,8.0,16k,False,"Netflix, Netflix basic with Ads",N/A,8,1 DAYS,11 DAYS,424 DAYS,24.0
haengobeo,행오버,The Hangover,movie,Comedy,코미디,2009,1시간 40분,N/A,미국,7.7,865k,True,"Netflix, wavve, Netflix basic with Ads",Todd Phillips,13,0 DAYS,16 DAYS,1738 DAYS,100.0
bo-ijeu-eopeureideu,보 이즈 어프레이드,Beau Is Afraid,movie,"Comedy, Dramas, Horror, Action, Fantasy","코미디, 드라마, 공포, 액션, 판타지",2023,2시간 59분,N/A,"핀란드, 캐나다, 미국, 영국",6.7,66k,True,"Netflix, wavve, Netflix basic with Ads",Ari Aster,4,1 DAYS,179 DAYS,576 DAYS,179.0
gus-raieo,굿 라이어,The Good Liar,movie,"Crime, Thriller, Dramas","범죄, 스릴러, 드라마",2019,1시간 49분,N/A,"영국, 미국, 캐나다",6.7,49k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Bill Condon,2,3 DAYS,12 DAYS,224 DAYS,109.0
ssing,씽,Sing,movie,"Anime, Comedy, Family","애니메이션, 코미디, 가족",2016,1시간 48분,N/A,"일본, 미국",7.1,197k,True,"wavve, Netflix, Naver Store, Amazon Prime Video, Watcha, Netflix basic with Ads",Garth Jennings,1,32 DAYS,295 DAYS,2003 DAYS,108.0
lady-chatterleys-lover,채털리 부인의 연인,Lady Chatterley's Lover,movie,"Dramas, Romance","드라마, 로맨스",2022,2시간 6분,N/A,"미국, 영국",6.6,24k,False,"Netflix, Netflix basic with Ads",Laure de Clermont-Tonnerre,15,0 DAYS,11 DAYS,154 DAYS,126.0
love-is-blind-habibi,연애 실험: 블라인드 러브 아랍편,الحب أعمى، حبيبي,tv,"Reality-TV, Romance","Reality TV, 로맨스",2024,56분,12,아랍에미리트,5.1,407,False,"Netflix, Netflix basic with Ads",N/A,7,1 DAYS,2 DAYS,9 DAYS,56.0
scarlet-innocence,마담 뺑덕,N/A,movie,"Thriller, Dramas, Romance","스릴러, 드라마, 로맨스",2014,1시간 53분,N/A,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads",Yim Pil-sung,15,0 DAYS,3 DAYS,128 DAYS,113.0
ghost-rider,고스트 라이더,Ghost Rider,movie,"Thriller, Fantasy, Action","스릴러, 판타지, 액션",2007,1시간 50분,15,미국,5.3,257k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Mark Steven Johnson,50,0 DAYS,1 DAYS,116 DAYS,110.0
seuta-teureg-dib-seupeiseu-nain,스타 트렉: 딥 스페이스 나인,Star Trek: Deep Space Nine,tv,"Action, Dramas, Sci-Fi, Thriller","액션, 드라마, SF, 스릴러",1993,47분,12,미국,8.1,73k,False,"Netflix, Netflix basic with Ads",N/A,3,1 DAYS,28 DAYS,1117 DAYS,47.0
jeongugyoho,전국요호,戦国妖狐,tv,"Dramas, Anime, Action, Sci-Fi, Fantasy","드라마, 애니메이션, 액션, SF, 판타지",2024,24분,15,일본,6.2,195,False,"Netflix, Netflix basic with Ads",N/A,1,4 DAYS,13 DAYS,299 DAYS,24.0
eondeo-weoteo,언더 워터,The Shallows,movie,"Thriller, Horror, Action, Dramas","스릴러, 공포, 액션, 드라마",2016,1시간 27분,15,"호주, 스페인, 미국",6.3,146k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Jaume Collet-Serra,1,8 DAYS,86 DAYS,868 DAYS,87.0
the-fall-guy,스턴트맨,The Fall Guy,movie,"Action, Comedy, Dramas, Romance","액션, 코미디, 드라마, 로맨스",2024,2시간 6분,15,"호주, 캐나다, 미국",6.9,158k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",David Leitch,1,79 DAYS,199 DAYS,243 DAYS,126.0
kodeu-8-pateu-2,코드 8: 파트 2,Code 8 Part II,movie,"Crime, Sci-Fi, Action, Dramas, Thriller","범죄, SF, 액션, 드라마, 스릴러",2024,1시간 41분,15,"미국, 캐나다",5.7,15k,False,"Netflix, Netflix basic with Ads",Jeff Chan,3,2 DAYS,11 DAYS,89 DAYS,101.0
syajam,샤잠!,Shazam!,movie,"Action, Fantasy, Comedy","액션, 판타지, 코미디",2019,2시간 12분,N/A,미국,7.0,393k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",David F. Sandberg,4,16 DAYS,261 DAYS,1488 DAYS,132.0
beronika,베로니카,Verónica,movie,Horror,공포,2017,1시간 45분,15+,스페인,6.2,49k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Paco Plaza,1,3 DAYS,14 DAYS,274 DAYS,105.0
kingseumaen-goldeun-seokeul,킹스맨: 골든 서클,Kingsman: The Golden Circle,movie,"Comedy, Thriller, Action, Crime","코미디, 스릴러, 액션, 범죄",2017,2시간 21분,N/A,"영국, 미국",6.7,375k,True,"Netflix, wavve, Disney Plus, Netflix basic with Ads",Matthew Vaughn,3,3 DAYS,263 DAYS,2080 DAYS,141.0
steven-universe,스티븐 유니버스,Steven Universe,tv,"Family, Sci-Fi, Anime, Comedy, Action, Dramas, Fantasy, Thriller","가족, SF, 애니메이션, 코미디, 액션, 드라마, 판타지, 스릴러",2013,11분,7,미국,8.1,41k,False,"Netflix, Netflix basic with Ads",N/A,2,11 DAYS,183 DAYS,2711 DAYS,11.0
phantom-2023,유령,N/A,movie,"Action, Thriller, Crime, History","액션, 스릴러, 범죄, 역사",2023,2시간 12분,15,대한민국,6.2,800,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Lee Hae-young,2,1 DAYS,20 DAYS,307 DAYS,132.0
haepi-tugedeo,HAPPY TOGETHER,N/A,movie,"Dramas, Romance, Comedy","드라마, 로맨스, 코미디",1997,1시간 36분,N/A,"홍콩, 대한민국, 일본",7.7,35k,True,"Netflix, wavve, Naver Store",Wong Kar-wai,2,10 DAYS,59 DAYS,822 DAYS,96.0
making-it-in-marbella,마르베야에서 성공하기,Mäklarna i Marbella,tv,Reality-TV,Reality TV,2024,27분,15,스웨덴,4.6,142,False,"Netflix, Netflix basic with Ads",N/A,3,1 DAYS,3 DAYS,7 DAYS,27.0
gunghab,궁합,N/A,movie,"History, Comedy, Romance","역사, 코미디, 로맨스",2018,1시간 50분,N/A,대한민국,6.3,763,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Hong Chang-pyo,19,0 DAYS,1 DAYS,81 DAYS,110.0
i-am-the-pretty-thing-that-lives-in-the-house,저주받은 집의 한 송이 꽃,I Am the Pretty Thing That Lives in the House,movie,"Thriller, Horror, Dramas","스릴러, 공포, 드라마",2016,1시간 27분,15,"캐나다, 미국",4.6,17k,False,"Netflix, Netflix basic with Ads",Osgood Perkins,7,2 DAYS,16 DAYS,67 DAYS,87.0
jojos-bizarre-adventure,죠죠의 기묘한 모험,ジョジョの奇妙な冒険,tv,"Anime, Action, Sci-Fi, Fantasy, Horror, Comedy, Dramas","애니메이션, 액션, SF, 판타지, 공포, 코미디, 드라마",2012,24분,19,일본,8.5,38k,True,"Netflix, Netflix basic with Ads, Crunchyroll",N/A,226,0 DAYS,0 DAYS,21 DAYS,24.0
1917,1917,N/A,movie,"History, Thriller, Dramas, War, Action","역사, 스릴러, 드라마, 전쟁, 액션",2019,1시간 59분,15,"인도, 스페인, 영국, 미국",8.2,701k,True,"FilmBox+, Netflix, Naver Store, Watcha, Netflix basic with Ads",Sam Mendes,1,141 DAYS,793 DAYS,1793 DAYS,119.0
deo-seopeonteu,더 서펀트,The Serpent,tv,"Thriller, Crime, Dramas","스릴러, 범죄, 드라마",2021,57분,19,영국,7.6,51k,False,"Netflix, Netflix basic with Ads",N/A,3,10 DAYS,54 DAYS,320 DAYS,57.0
suburra-la-serie,수부라,Suburra: La serie,tv,"Dramas, Action, Crime, Romance, Thriller, Unknown","드라마, 액션, 범죄, 로맨스, 스릴러, 유럽에서 제작",2017,48분,19,이탈리아,7.9,17k,False,"Netflix, Netflix basic with Ads",N/A,3,5 DAYS,19 DAYS,473 DAYS,48.0
swimming-pool,스위밍 풀,Swimming Pool,movie,"Thriller, Crime, Dramas, Unknown","스릴러, 범죄, 드라마, 유럽에서 제작",2003,1시간 42분,N/A,"영국, 프랑스",6.7,49k,True,"Netflix, wavve",François Ozon,6,2 DAYS,11 DAYS,280 DAYS,102.0
nayi-hieoro-akademia-2016,나의 히어로 아카데미아,僕のヒーローアカデミア,tv,"Anime, Sci-Fi, Action, Fantasy, Comedy","애니메이션, SF, 액션, 판타지, 코미디",2016,24분,15,일본,8.2,86k,True,"Netflix, Crunchyroll, Naver Store, Watcha, Netflix basic with Ads",N/A,4,2 DAYS,358 DAYS,2486 DAYS,24.0
elysium,엘리시움,Elysium,movie,"Sci-Fi, Action, Dramas, Thriller","SF, 액션, 드라마, 스릴러",2013,1시간 49분,N/A,미국,6.6,477k,True,"Netflix, wavve, Watcha",Neill Blomkamp,5,1 DAYS,28 DAYS,660 DAYS,109.0
rebel-moon,REBEL MOON — 파트 1: 불의 아이,Rebel Moon - Part One: A Child of Fire,movie,"Action, Dramas, Fantasy, Sci-Fi","액션, 드라마, 판타지, SF",2023,2시간 13분,N/A,미국,5.6,130k,False,"Netflix, Netflix basic with Ads",Zack Snyder,1,4 DAYS,64 DAYS,269 DAYS,133.0
geugjangpan-gwimyeolyi-kalnal-muhanyeolca-pyeon,극장판 귀멸의 칼날: 무한열차편,劇場版「鬼滅の刃」無限列車編,movie,"Thriller, Anime, Action, Fantasy","스릴러, 애니메이션, 액션, 판타지",2020,1시간 57분,15,일본,8.2,78k,True,"wavve, Disney Plus, Netflix, Naver Store, Watcha, Netflix basic with Ads",Haruo Sotozaki,2,12 DAYS,54 DAYS,610 DAYS,117.0
corpse-bride,유령 신부,Corpse Bride,movie,"Romance, Anime, Comedy, Dramas, Family, Fantasy","로맨스, 애니메이션, 코미디, 드라마, 가족, 판타지",2005,1시간 16분,N/A,"영국, 미국",7.4,307k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads","Tim Burton , Mike Johnson",10,1 DAYS,73 DAYS,613 DAYS,76.0
puba,푸바,FUBAR,tv,"Action, Comedy, Thriller, Dramas","액션, 코미디, 스릴러, 드라마",2023,56분,19,미국,6.5,39k,False,"Netflix, Netflix basic with Ads",N/A,1,13 DAYS,56 DAYS,355 DAYS,56.0
ceolinwanghu,철인왕후,N/A,tv,"Sci-Fi, Dramas, Comedy, Fantasy, Romance","SF, 드라마, 코미디, 판타지, 로맨스",2020,1시간 11분,15,대한민국,8.6,12k,True,"Netflix, Netflix basic with Ads, Naver Store",Yun Seong-sik,8,1 DAYS,12 DAYS,347 DAYS,71.0
the-last-kingdom,라스트 킹덤,The Last Kingdom,tv,"Action, Dramas, War, History, Unknown","액션, 드라마, 전쟁, 역사, 유럽에서 제작",2015,55분,19,영국,8.5,172k,False,"Netflix, Netflix basic with Ads",N/A,1,16 DAYS,362 DAYS,3050 DAYS,55.0
syeoteo,셔터,ชัตเตอร์ กดติดวิญญาณ,movie,"Thriller, Horror","스릴러, 공포",2004,1시간 37분,15,태국,7.0,50k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads","Banjong Pisanthanakun , Parkpoom Wongpoom",4,3 DAYS,8 DAYS,98 DAYS,97.0
teomineiteo-jenisiseu,터미네이터 제니시스,Terminator Genisys,movie,"Thriller, Action, Sci-Fi","스릴러, 액션, SF",2015,2시간 6분,15,"미국, 캐나다",6.3,297k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Alan Taylor,1,18 DAYS,293 DAYS,1732 DAYS,126.0
peurinseu-cyaming,프린스 챠밍,Charming,movie,"Fantasy, Music, Anime, Action, Comedy, Family, Romance","판타지, 음악, 애니메이션, 액션, 코미디, 가족, 로맨스",2018,1시간 30분,N/A,"캐나다, 미국",5.6,4k,True,"wavve, FilmBox+, Netflix, Naver Store, Watcha, Netflix basic with Ads",Ross Venokur,161,0 DAYS,0 DAYS,15 DAYS,90.0
maestro,MAESTRO,N/A,tv,"Crime, Dramas","범죄, 드라마",2022,55분,19,그리스,8.1,11k,False,"Netflix, Netflix basic with Ads",N/A,3,2 DAYS,10 DAYS,214 DAYS,55.0
hells-kitchen,헬'S 키친,Hell's Kitchen,tv,"Reality-TV, Comedy, Dramas","Reality TV, 코미디, 드라마",2005,44분,19,미국,7.2,23k,False,"Netflix, Netflix basic with Ads",N/A,5,1 DAYS,20 DAYS,1240 DAYS,44.0
yunikon-akademi,유니콘 아카데미,Unicorn Academy,tv,"Sci-Fi, Action, Comedy, Family, Fantasy, Music, Anime","SF, 액션, 코미디, 가족, 판타지, 음악, 애니메이션",2023,29분,ALL,캐나다,6.5,375,False,"Netflix, Netflix basic with Ads",N/A,33,0 DAYS,1 DAYS,4 DAYS,29.0
onefour-against-all-odds,원포: 음악이 이긴다,OneFour: Against All Odds,movie,"Documentary, Crime, Music","다큐멘터리, 범죄, 음악",2023,1시간 22분,N/A,호주,6.7,364,False,"Netflix, Netflix basic with Ads",N/A,21,0 DAYS,2 DAYS,8 DAYS,82.0
black-mirror,블랙 미러,Black Mirror,tv,"Crime, Dramas, Sci-Fi, Thriller","범죄, 드라마, SF, 스릴러",2011,58분,19,영국,8.7,659k,False,"Netflix, Netflix basic with Ads",N/A,1,53 DAYS,1176 DAYS,3223 DAYS,58.0
ra-peurimera-beseu,너는 나의 처음,La primera vez,tv,"Dramas, Romance","드라마, 로맨스",2023,45분,19,콜롬비아,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,2,5 DAYS,11 DAYS,208 DAYS,45.0
godoghan-misigga-goro-gaegeumaen-congculdong,"고독한 미식가 ~고로, 개그맨 총출동~",孤独のグルメ配信オリジナル,tv,Dramas,드라마,2023,11분,12+,일본,N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha",N/A,31,0 DAYS,1 DAYS,8 DAYS,11.0
hilbilriyi-norae,힐빌리의 노래,Hillbilly Elegy,movie,Dramas,드라마,2020,1시간 57분,N/A,미국,6.7,55k,False,"Netflix, Netflix basic with Ads",Ron Howard,1,5 DAYS,32 DAYS,266 DAYS,117.0
gaguyagongju-iyagi,가구야공주 이야기,かぐや姫の物語,movie,"Anime, Dramas, Fantasy, Family, Romance","애니메이션, 드라마, 판타지, 가족, 로맨스",2013,2시간 17분,N/A,일본,8.0,56k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Isao Takahata,50,0 DAYS,2 DAYS,75 DAYS,137.0
heoniwa-keulrobeo,허니와 클로버,ハチミツとクローバー,movie,"Romance, Dramas","로맨스, 드라마",2006,1시간 57분,N/A,일본,6.4,954,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Masahiro Takata,33,0 DAYS,3 DAYS,70 DAYS,117.0
fast-and-furious-6,분노의 질주: 더 맥시멈,Fast & Furious 6,movie,"Action, Thriller, Crime","액션, 스릴러, 범죄",2013,2시간 11분,15,미국,7.0,422k,True,"wavve, Netflix, Naver Store, Amazon Prime Video, Netflix basic with Ads",Justin Lin,22,0 DAYS,34 DAYS,394 DAYS,131.0
