title,title_KO,title_ORG,type,genres,genres_KO,releaseYear,length,ratings,production_countries,imdbAverageRating,imdbNumVotes,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,length_in_minutes
a-river-runs-through-it,흐르는 강물처럼,A River Runs Through It,movie,"Dramas, Family","드라마, 가족",1992,2시간 3분,N/A,미국,7.2,67k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Robert Redford,17,0 DAYS,6 DAYS,191 DAYS,123.0
mauvais-sang,나쁜 피,Mauvais Sang,movie,"Crime, Dramas, Sci-Fi, Romance, Unknown","범죄, 드라마, SF, 로맨스, 유럽에서 제작",1986,1시간 59분,15,"프랑스, 스위스",N/A,N/A,True,"Netflix, Netflix basic with Ads, Watcha, Naver Store",Leos Carax,17,0 DAYS,5 DAYS,70 DAYS,119.0
derek,데릭,Derek,tv,"Dramas, Comedy, Unknown","드라마, 코미디, 유럽에서 제작",2013,27분,19,영국,8.1,36k,False,"Netflix, Netflix basic with Ads",N/A,4,1 DAYS,12 DAYS,135 DAYS,27.0
singkeuhol,SINGKEUHOL,Sinkhole,movie,"Comedy, Dramas, Action","코미디, 드라마, 액션",2021,1시간 57분,N/A,대한민국,N/A,N/A,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Kim Ji-hoon,1,6 DAYS,27 DAYS,111 DAYS,117.0
oteobsi-obeu-jein-do,제인 도,The Autopsy of Jane Doe,movie,"Horror, Thriller","공포, 스릴러",2016,1시간 26분,N/A,"미국, 영국",6.8,147k,True,"Netflix, wavve, Netflix basic with Ads",André Øvredal,4,3 DAYS,30 DAYS,866 DAYS,86.0
deo-digeu,더 디그,The Dig,movie,"History, Dramas","역사, 드라마",2021,1시간 52분,N/A,영국,7.1,84k,False,"Netflix, Netflix basic with Ads",Simon Stone,2,3 DAYS,36 DAYS,234 DAYS,112.0
wild-wild-country,오쇼 라즈니쉬의 문제적 유토피아,Wild Wild Country,tv,"Documentary, Crime","다큐멘터리, 범죄",2018,1시간 7분,N/A,미국,8.1,36k,False,"Netflix, Netflix basic with Ads",N/A,3,4 DAYS,39 DAYS,358 DAYS,67.0
beodeu-bagseu,버드 박스,Bird Box,movie,"Horror, Thriller, Dramas, Sci-Fi","공포, 스릴러, 드라마, SF",2018,2시간 4분,15,미국,6.6,397k,False,"Netflix, Netflix basic with Ads",Susanne Bier,1,14 DAYS,52 DAYS,465 DAYS,124.0
ariseu-in-bodeoraendeu,아리스 인 보더랜드,Alice in Borderland,tv,"Thriller, Action, Dramas, Sci-Fi","스릴러, 액션, 드라마, SF",2020,54분,19,일본,7.7,103k,False,"Netflix, Netflix basic with Ads",N/A,1,15 DAYS,146 DAYS,1275 DAYS,54.0
blood-diamond,블러드 다이아몬드,Blood Diamond,movie,"Dramas, Thriller, Action","드라마, 스릴러, 액션",2006,2시간 23분,N/A,"독일, 미국",8.0,596k,True,"Netflix, wavve, Netflix basic with Ads",Edward Zwick,8,1 DAYS,22 DAYS,375 DAYS,143.0
gidongjeonsa-geondam-seed-destiny,기동전사 건담 SEED DESTINY,Mobile Suit Gundam SEED Destiny,tv,"Anime, Action, Dramas, Sci-Fi, War","애니메이션, 액션, 드라마, SF, 전쟁",2004,24분,15+,일본,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,78,0 DAYS,2 DAYS,12 DAYS,24.0
rararaendeu,라라랜드,La La Land,movie,"Romance, Dramas, Music, Comedy","로맨스, 드라마, 음악, 코미디",2016,2시간 8분,N/A,"미국, 홍콩",8.0,695k,True,"wavve, FilmBox+, Netflix, Naver Store, Watcha, Netflix basic with Ads",Damien Chazelle,1,30 DAYS,733 DAYS,2880 DAYS,128.0
boyhood,보이후드,Boyhood,movie,Dramas,드라마,2014,2시간 46분,15,미국,7.9,371k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Richard Linklater,1,10 DAYS,71 DAYS,1718 DAYS,166.0
deo-neon,더 넌,The Nun,movie,"Horror, Thriller","공포, 스릴러",2018,1시간 36분,15,미국,5.3,177k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Corin Hardy,5,3 DAYS,102 DAYS,906 DAYS,96.0
teuraebteu,트랩트,Trapped,tv,"Thriller, Crime, Dramas","스릴러, 범죄, 드라마",2015,48분,N/A,"독일, 프랑스, 영국, 아이슬란드, 덴마크, 핀란드, 스웨덴, 노르웨이",8.0,25k,False,"Netflix, Netflix basic with Ads",N/A,1,5 DAYS,40 DAYS,1133 DAYS,48.0
what-did-we-do-to-deserve-this,컬러풀 웨딩즈,Qu'est-ce qu'on a fait au Bon Dieu ?,movie,"Comedy, Unknown","코미디, 유럽에서 제작",2014,1시간 34분,12+,프랑스,7.0,46k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Philippe de Chauveron,4,2 DAYS,26 DAYS,546 DAYS,94.0
di-adeoseu,디 아더스,The Others,movie,"Horror, Thriller, Unknown","공포, 스릴러, 유럽에서 제작",2001,1시간 44분,12+,"스페인, 미국",7.6,402k,True,"Netflix, wavve, Netflix basic with Ads",Alejandro Amenábar,8,1 DAYS,43 DAYS,1025 DAYS,104.0
pain-and-gain,페인 앤 게인,Pain & Gain,movie,"Comedy, Action, Crime, Dramas","코미디, 액션, 범죄, 드라마",2013,2시간 9분,N/A,미국,6.4,233k,True,"Netflix, wavve, Netflix basic with Ads",Michael Bay,14,0 DAYS,17 DAYS,282 DAYS,129.0
timiyi-mosmalrineun-suhoceonsa,티미의 못말리는 수호천사,The Fairly OddParents,tv,"Sci-Fi, Anime, Comedy, Family, Fantasy","SF, 애니메이션, 코미디, 가족, 판타지",2001,24분,7,"미국, 캐나다",7.2,48k,False,"Netflix, Netflix basic with Ads",N/A,33,0 DAYS,12 DAYS,261 DAYS,24.0
mai-oldeu-aeseu,마이 올드 애스,My Old Ass,movie,"Comedy, Dramas","코미디, 드라마",2024,1시간 29분,N/A,"미국, 캐나다",N/A,N/A,False,,N/A,N/A,N/A,N/A,N/A,89.0
red-cliff-part-ii,적벽대전 2부: 최후의 결전,赤壁：決戰天下,movie,"History, War, Action, Dramas","역사, 전쟁, 액션, 드라마",2009,2시간 21분,15,"대한민국, 대만, 미국, China, 홍콩, 일본",7.5,26k,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",John Woo,23,0 DAYS,2 DAYS,59 DAYS,141.0
dangsineun-narareul-saranghaneunga,당신은 나라를 사랑하는가,The Oath,movie,"Comedy, Thriller, History, Dramas","코미디, 스릴러, 역사, 드라마",2018,1시간 33분,N/A,미국,5.6,5k,True,"Netflix, wavve, Netflix basic with Ads",Ike Barinholtz,7,1 DAYS,7 DAYS,38 DAYS,93.0
kingdeom-2012,킹덤,キングダム,tv,"Dramas, Action, Anime, History, War","드라마, 액션, 애니메이션, 역사, 전쟁",2012,25분,19,일본,N/A,N/A,True,"Netflix, Crunchyroll",N/A,2,6 DAYS,11 DAYS,489 DAYS,25.0
hashoter-hatov,굿 캅 대니,השוטר הטוב,tv,"Dramas, Comedy","드라마, 코미디",2015,29분,15,이스라엘,7.5,490,False,"Netflix, Netflix basic with Ads",N/A,2,4 DAYS,6 DAYS,64 DAYS,29.0
go-ahead-brother,갈 데까지 가 보자,"Idź przodem, bracie",tv,"Thriller, Crime, Action, Dramas","스릴러, 범죄, 액션, 드라마",2024,58분,N/A,폴란드,6.6,213,False,"Netflix, Netflix basic with Ads",Maciej Pieprzyca,8,1 DAYS,3 DAYS,6 DAYS,58.0
anae-codeunghagsaengi-doeda,"아내, 초등학생이 되다.",妻、小学生になる。,tv,"Family, Dramas","가족, 드라마",2022,32분,15+,일본,7.9,151,True,"Netflix, Netflix basic with Ads, Watcha","Toshio Tsuboi , Takeyoshi Yamamoto , Naoki Katō",11,0 DAYS,4 DAYS,24 DAYS,32.0
500-dias-de-escobar-la-vertiginosa-caida-del-capo,500 DÍAS DE ESCOBAR: LA VERTIGINOSA CAÍDA DEL CAPO,N/A,movie,"Documentary, Crime","다큐멘터리, 범죄",2024,1시간 38분,15+,콜롬비아,5.7,130,False,"Netflix, Netflix basic with Ads",Simón Hernández,12,0 DAYS,1 DAYS,11 DAYS,98.0
naneun-nega-jinan-yeoreume-han-ileul-algo-issda,나는 네가 지난 여름에 한 일을 알고 있다,I Know What You Did Last Summer,movie,"Thriller, Horror","스릴러, 공포",1997,1시간 41분,N/A,미국,5.8,161k,True,"Netflix, wavve, Netflix basic with Ads",Jim Gillespie,12,0 DAYS,5 DAYS,188 DAYS,101.0
single-in-seoul,SINGLE IN SEOUL,N/A,movie,"Romance, Comedy, Dramas","로맨스, 코미디, 드라마",2023,1시간 43분,N/A,대한민국,6.1,524,True,"Netflix, wavve, Netflix basic with Ads, Naver Store",Park Beom-su,31,0 DAYS,3 DAYS,97 DAYS,103.0
my-brother-above-in-the-tree,MY BROTHER ABOVE IN THE TREE,اخي فوق الشجرة,movie,Comedy,코미디,2023,1시간 45분,15+,이집트,3.9,250,False,"Netflix, Netflix basic with Ads",Mahmoud Karim,483,0 DAYS,0 DAYS,5 DAYS,105.0
gimbiseoga-wae-geureolgga,김비서가 왜 그럴까,N/A,tv,"Comedy, Dramas, Romance","코미디, 드라마, 로맨스",2018,24분,15,대한민국,8.0,20k,True,"Netflix, Disney Plus, Netflix basic with Ads, Naver Store","Yoo Jong-sun , Park Joon-hwa",7,4 DAYS,20 DAYS,1271 DAYS,24.0
incomplete-life,미생,N/A,tv,"Comedy, Dramas","코미디, 드라마",2014,1시간 13분,15,대한민국,N/A,N/A,True,"Netflix, Disney Plus, Netflix basic with Ads, Naver Store",Kim Won-suk,28,0 DAYS,15 DAYS,1680 DAYS,73.0
the-snow-girl,스노우 걸,The Snow Girl,tv,"Crime, Dramas, Thriller","범죄, 드라마, 스릴러",2023,45분,15,스페인,N/A,N/A,False,"Netflix, Netflix basic with Ads",N/A,1,4 DAYS,27 DAYS,204 DAYS,45.0
meet-the-parents,미트 페어런츠,Meet the Parents,movie,"Romance, Comedy","로맨스, 코미디",2000,1시간 48분,N/A,미국,7.0,362k,True,"Netflix, wavve, Naver Store",N/A,N/A,N/A,N/A,N/A,108.0
byeog-soge-sumeun-mabeobsigye,벽 속에 숨은 마법시계,The House with a Clock in Its Walls,movie,"Family, Comedy, Horror, Fantasy, Sci-Fi","가족, 코미디, 공포, 판타지, SF",2018,1시간 45분,N/A,"미국, 캐나다, 인도",6.1,56k,True,"Netflix, wavve, Watcha, Naver Store",Eli Roth,10,1 DAYS,21 DAYS,320 DAYS,105.0
hello-ghost-2022,헬로우 고스트,Hello Ghost,movie,"Horror, Comedy, Dramas","공포, 코미디, 드라마",2023,1시간 44분,N/A,인도네시아,6.4,353,False,Netflix,Indra Gunawan,24,0 DAYS,2 DAYS,20 DAYS,104.0
first-daughter,대통령의 딸,First Daughter,movie,"Family, Comedy, Dramas, Romance, Unknown","가족, 코미디, 드라마, 로맨스, 유럽에서 제작",2004,1시간 45분,N/A,미국,5.1,29k,True,"wavve, Disney Plus, Netflix, Naver Store, Netflix basic with Ads",Forest Whitaker,24,0 DAYS,5 DAYS,54 DAYS,105.0
biteu,비트,N/A,movie,"Action, Dramas, Crime","액션, 드라마, 범죄",1997,1시간 56분,N/A,대한민국,6.7,702,False,"Netflix, Netflix basic with Ads",Kim Sung-soo,36,0 DAYS,1 DAYS,86 DAYS,116.0
naneun-agmareul-saranghaessda,나는 악마를 사랑했다,"Extremely Wicked, Shockingly Evil and Vile",movie,"Dramas, Crime, Thriller","드라마, 범죄, 스릴러",2019,1시간 51분,N/A,미국,6.7,107k,False,"Netflix, Netflix basic with Ads",Joe Berlinger,1,5 DAYS,31 DAYS,274 DAYS,111.0
avatar-the-last-airbender-0,아바타: 아앙의 전설,Avatar the Last Airbender,tv,"Action, Dramas, Sci-Fi, Comedy, Family, Fantasy","액션, 드라마, SF, 코미디, 가족, 판타지",2024,54분,12,미국,7.2,76k,False,"Netflix, Netflix basic with Ads",N/A,2,12 DAYS,56 DAYS,261 DAYS,54.0
eonkeos-jemseu,언컷 젬스,Uncut Gems,movie,"Dramas, Thriller, Crime","드라마, 스릴러, 범죄",2019,2시간 16분,N/A,미국,7.4,327k,False,"Netflix, Netflix basic with Ads","Josh Safdie , Benny Safdie",1,10 DAYS,195 DAYS,810 DAYS,136.0
kota-factory,코타 팩토리,कोटा फ़ैक्ट्री,tv,"Comedy, Dramas","코미디, 드라마",2019,41분,12,인도,9.0,85k,False,"Netflix, Netflix basic with Ads",Pratish Mehta,3,1 DAYS,9 DAYS,602 DAYS,41.0
postcards,인생은 엽서처럼,Postcards,tv,Dramas,드라마,2024,32분,12,나이지리아,5.6,890,False,"Netflix, Netflix basic with Ads",Hamisha Daryani Ahuja,49,0 DAYS,2 DAYS,4 DAYS,32.0
pyuri,퓨리,Fury,movie,"Dramas, Action, War","드라마, 액션, 전쟁",2014,2시간 15분,15,미국,7.6,562k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",David Ayer,1,4 DAYS,108 DAYS,2224 DAYS,135.0
the-exorcist,엑소시스트: 믿는 자,The Exorcist: Believer,movie,"Horror, Thriller","공포, 스릴러",2023,1시간 51분,15,미국,4.8,45k,True,"Netflix, wavve, Netflix basic with Ads",David Gordon Green,9,1 DAYS,10 DAYS,296 DAYS,111.0
blue-is-the-warmest-color,"가장 따뜻한 색, 블루",La Vie d'Adèle - Chapitres 1 et 2,movie,"Dramas, Romance, Unknown","드라마, 로맨스, 유럽에서 제작",2013,3시간 0분,N/A,"프랑스, 스페인, 벨기에",7.7,166k,True,"Netflix, wavve, Netflix basic with Ads",Abdellatif Kechiche,2,6 DAYS,44 DAYS,1512 DAYS,180.0
agyi-ggoc-2020,악의 꽃,N/A,tv,"Dramas, Crime, Romance, Thriller","드라마, 범죄, 로맨스, 스릴러",2020,1시간 10분,15,대한민국,8.5,15k,False,"Netflix, Netflix basic with Ads",N/A,1,3 DAYS,25 DAYS,905 DAYS,70.0
gumihodyeon,THE STORY OF GUMIHO,Tale of the Nine Tailed,tv,"Horror, Romance, Fantasy, History, Sci-Fi, Dramas, Comedy, Thriller","공포, 로맨스, 판타지, 역사, SF, 드라마, 코미디, 스릴러",2020,1시간 9분,15,대한민국,7.9,10k,True,"Netflix, Netflix basic with Ads, Naver Store","Kang Shin-hyo , Jo Nam-hyung",7,3 DAYS,32 DAYS,529 DAYS,69.0
bangpae-yongsa-seonggongdam,방패 용사 성공담,盾の勇者の成り上がり,tv,"Action, Sci-Fi, Dramas, Anime, Fantasy, Romance, Comedy","액션, SF, 드라마, 애니메이션, 판타지, 로맨스, 코미디",2019,24분,15,일본,7.8,19k,True,"Watcha, Netflix basic with Ads, Netflix, Naver Store",N/A,1,4 DAYS,27 DAYS,668 DAYS,24.0
