title_x,title_KO,title_ORG,type_x,genres_x,genres_KO,releaseYear_x,length,ratings,production_countries,imdbAverageRating_x,imdbNumVotes_x,isAvaliableInDifferentPlatform,platforms,director,best_rank,top10_period,top100_period,top1000_period,title_y,type_y,genres_y,releaseYear_y,imdbId,imdbAverageRating_y,imdbNumVotes_y,availableCountries
dance-monsters,댄스 몬스터스,Dance Monsters,tv,Reality-TV,Reality TV,2022,44분,,영국,5.8,325,False,"Netflix, Netflix basic with Ads",,27.0,0 DAYS,2 DAYS,16 DAYS,Dance Monsters,tv,"Game-Show, Reality-TV",2022.0,tt15292892,5.8,324.0,"AD, AE, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
matsushiyuru-mashle,마슐,Mashle: Magic and Muscles,tv,"Fantasy, Anime, Action, Comedy, Sci-Fi","판타지, 애니메이션, 액션, 코미디, SF",2023,23분,15,일본,,,True,"Watcha, Netflix basic with Ads, Crunchyroll, Netflix",,13.0,0 DAYS,26 DAYS,499 DAYS,Mashle: Magic and Muscles,tv,"Action, Adventure, Animation",2023.0,tt21209804,7.6,9256.0,"FJ, HK, ID, JP, KR, MY, PH, SG, TH, TW"
bilrieoneeo-boijeu-keulreob,빌리어네어 보이즈 클럽,Billionaire Boys Club,movie,"Dramas, Thriller","드라마, 스릴러",2018,1시간 48분,,미국,5.6,15k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",James Cox,37.0,0 DAYS,5 DAYS,82 DAYS,Billionaire Boys Club,movie,"Biography, Drama, Thriller",2018.0,tt5179598,5.6,15094.0,"KR, PH"
the-age-of-adaline,아델라인: 멈춰진 시간,The Age of Adaline,movie,"Dramas, Romance, Fantasy","드라마, 로맨스, 판타지",2015,1시간 52분,,미국,7.2,212k,True,"wavve, Netflix, Naver Store, Watcha, Netflix basic with Ads",Lee Toland Krieger,5.0,6 DAYS,148 DAYS,1484 DAYS,The Age of Adaline,movie,"Drama, Fantasy, Romance",2015.0,tt1655441,7.2,212056.0,"AT, AU, BE, DE, FJ, KR, LI, NL, NZ, TH"
ace-ventura-pet-detective,에이스 벤츄라,Ace Ventura: Pet Detective,movie,"Comedy, Thriller","코미디, 스릴러",1994,1시간 26분,,미국,6.9,332k,True,"Netflix, Netflix basic with Ads, Watcha",Tom Shadyac,9.0,1 DAYS,8 DAYS,308 DAYS,Ace Ventura: Pet Detective,movie,Comedy,1994.0,tt0109040,6.9,332164.0,"AD, AE, AL, BA, BE, BG, BH, CA, CH, CY, CZ, DZ, EG, FJ, FR, GB, GF, GG, GI, GR, HK, HU, ID, IE, IL, IN, IQ, IT, JO, JP, KR, KW, LB, LU, LY, MA, MC, ME, MK, MT, MU, MY, OM, PF, PH, PK, PL, PS, QA, RO, RS, SA, SG, SI, SK, SM, TH, TN, TR, TW, YE"
dc-rejeondeu-obeu-tumorou,DC 레전드 오브 투모로우,DC's Legends of Tomorrow,tv,"Sci-Fi, Action, Dramas","SF, 액션, 드라마",2016,42분,15,미국,6.7,111k,True,"Netflix, Netflix basic with Ads, Naver Store",,1.0,19 DAYS,733 DAYS,2825 DAYS,DC's Legends of Tomorrow,tv,"Action, Adventure, Drama",2016.0,tt4532368,6.7,111145.0,"AD, AL, AO, AR, AZ, BA, BB, BE, BG, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, DK, DO, EC, EE, FJ, FR, GF, GH, GQ, GR, GT, HK, HN, HR, IL, IS, IT, JM, KE, KR, LC, LT, LU, LV, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, PA, PE, PF, PH, PK, PL, PT, PY, RO, RS, SC, SE, SG, SI, SK, SM, SN, SV, TH, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW"
the-apprentice-one-championship-edition,어프렌티스: 원 챔피언십 에디션,The Apprentice: ONE Championship Edition,tv,Reality-TV,Reality TV,2021,48분,12,싱가포르,7.4,193,False,"Netflix, Netflix basic with Ads",,7.0,1 DAYS,3 DAYS,27 DAYS,The Apprentice: ONE Championship Edition,tv,Reality-TV,2021.0,tt15554618,7.4,193.0,"AD, AE, AG, AL, AO, AR, AT, AZ, BA, BB, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FR, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MY, MZ, NE, NG, NI, OM, PA, PE, PF, PH, PK, PL, PS, PY, QA, RS, SA, SC, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
the-dragon-prince,드래곤 프린스,The Dragon Prince,tv,"Family, Fantasy, Thriller, Anime, Action, Dramas, Sci-Fi","가족, 판타지, 스릴러, 애니메이션, 액션, 드라마, SF",2018,27분,,"캐나다, 미국",8.3,29k,False,"Netflix, Netflix basic with Ads",,2.0,11 DAYS,52 DAYS,860 DAYS,The Dragon Prince,tv,"Action, Adventure, Animation",2018.0,tt8688814,8.3,28837.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
spaceman,우주인,Spaceman,movie,"Dramas, Sci-Fi, Action","드라마, SF, 액션",2024,1시간 47분,15,"체코 공화국, 미국",5.7,39k,False,"Netflix, Netflix basic with Ads",Johan Renck,2.0,2 DAYS,33 DAYS,216 DAYS,Spaceman,movie,"Adventure, Drama, Sci-Fi",2024.0,tt11097384,5.7,39151.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW"
deo-doeomaen,도어맨,The Doorman,movie,"Action, Thriller, Dramas","액션, 스릴러, 드라마",2020,1시간 37분,15,"캐나다, 루마니아, 미국, 영국",,,True,"Netflix, FilmBox+, Netflix basic with Ads, Naver Store",Ryûhei Kitamura,11.0,0 DAYS,9 DAYS,66 DAYS,The Doorman,movie,"Action, Drama, Thriller",2020.0,tt6222118,4.7,8460.0,KR
